Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q14789,2804,CCDS3004.1,109066,"DNA binding transcription factor activity;
RNA binding;
sequence-specific DNA binding",,"ER to Golgi vesicle-mediated transport;
Golgi organization;
protein localization to pericentriolar material",,"Golgi apparatus;
Other locations",,,,"Complete proteome;
Reference proteome",
Q14814,4209,CCDS1143.1,110373,"activating transcription factor binding;
DNA binding transcription factor activity;
histone deacetylase binding;
protein heterodimerization activity;
protein homodimerization activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II regulatory region sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding","Activator;
Developmental protein;
DNA-binding","adult heart development;
apoptotic process;
chondrocyte differentiation;
endochondral ossification;
muscle organ development;
nervous system development;
osteoblast differentiation;
positive regulation of transcription by RNA polymerase II;
positive regulation of vascular smooth muscle cell proliferation;
skeletal muscle cell differentiation","Apoptosis;
Differentiation;
Neurogenesis;
Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q14980,4926,CCDS31633.1,110980,"disordered domain specific binding;
dynein complex binding;
microtubule binding;
microtubule minus-end binding;
microtubule plus-end binding;
phosphatidylinositol binding;
protein-containing complex binding;
protein C-terminus binding;
protein domain specific binding;
structural molecule activity;
tubulin binding",,"anastral spindle assembly;
astral microtubule organization;
cell division;
chromosome segregation;
establishment of mitotic spindle orientation;
meiotic cell cycle;
microtubule bundle formation;
nucleus organization;
positive regulation of BMP signaling pathway;
positive regulation of chromosome segregation;
positive regulation of chromosome separation;
positive regulation of hair follicle development;
positive regulation of intracellular transport;
positive regulation of keratinocyte differentiation;
positive regulation of microtubule polymerization;
positive regulation of mitotic spindle elongation;
positive regulation of protein localization to cell cortex;
positive regulation of protein localization to spindle pole body;
positive regulation of spindle assembly;
regulation of metaphase plate congression;
regulation of mitotic spindle organization","Cell cycle;
Cell division;
Chromosome partition;
Mitosis","Cytoskeleton;
Cytosol;
Extracellular region or secreted;
Golgi apparatus;
Nucleus;
Plasma Membrane;
Other locations","Cell membrane;
Chromosome;
Cytoplasm;
Cytoskeleton;
Membrane;
Microtubule;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q149N8,257218,CCDS43513.2,129208,"ATP binding;
DNA binding;
helicase activity;
metal ion binding;
ubiquitin protein ligase activity;
ubiquitin protein ligase binding;
ubiquitin-protein transferase activity","Helicase;
Hydrolase;
Transferase","cellular response to DNA damage stimulus;
DNA repair;
nucleosome assembly;
protein polyubiquitination;
protein ubiquitination","DNA damage;
DNA repair;
Ubl conjugation pathway","Nucleus;
Other locations",,,,"3D-structure;
Complete proteome;
Reference proteome",
Q14BN4,7871,CCDS33774.1,113620,,,"muscle contraction;
protein localization to plasma membrane;
regulation of membrane depolarization during cardiac muscle cell action potential;
regulation of sodium ion transmembrane transport;
regulation of voltage-gated sodium channel activity",,"Cytoskeleton;
Endoplasmic reticulum;
Plasma Membrane",,,,"Complete proteome;
Reference proteome",
Q15007,9589,CCDS5266.1,114957,,Developmental protein,"cell cycle;
mRNA methylation;
mRNA processing;
regulation of alternative mRNA splicing, via spliceosome;
RNA splicing","Cell cycle;
mRNA processing;
mRNA splicing","Nucleus;
Other locations","Cytoplasm;
Nucleus",,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15016,,,,,,,,,,,,,
Q15019,4735,CCDS2548.1,110812,"cadherin binding;
GTP binding;
identical protein binding",,"cell cycle;
cell division;
cilium assembly;
neuron projection development;
smoothened signaling pathway;
spermatogenesis","Cell cycle;
Cell division;
Differentiation;
Mitosis;
Spermatogenesis","Cytoskeleton;
Extracellular region or secreted;
Nucleus;
Plasma Membrane;
Other locations","Cell membrane;
Cell projection;
Centromere;
Chromosome;
Cilium;
Cytoplasm;
Cytoskeleton;
Flagellum;
Kinetochore;
Membrane",,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15075,8411,CCDS31874.1,113999,"1-phosphatidylinositol binding;
calmodulin binding;
GTP-dependent protein binding;
nucleic acid binding;
protein homodimerization activity;
zinc ion binding",,"early endosome to late endosome transport;
endocytosis;
synaptic vesicle to endosome fusion;
vesicle fusion;
viral RNA genome replication",,"Cytosol;
Endosome;
Extracellular region or secreted;
Plasma Membrane;
Other locations","Cytoplasm;
Endosome;
Membrane",,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15149,5339,CCDS43769.1,111355,"actin binding;
ankyrin binding;
cadherin binding;
RNA binding;
structural constituent of muscle",Actin-binding,hemidesmosome assembly,,"Cytoskeleton;
Cytosol;
Extracellular region or secreted;
Plasma Membrane;
Other locations","Cell junction;
Cytoplasm;
Cytoskeleton","131950;
616487;
613723;
226670;
612138","Disease mutation;
Epidermolysis bullosa;
Limb-girdle muscular dystrophy","3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15173,5526,CCDS8085.1,111518,protein phosphatase regulator activity,,"cellular response to growth factor stimulus;
IRE1-mediated unfolded protein response;
negative regulation of G0 to G1 transition;
positive regulation of cell cycle arrest;
positive regulation of DNA binding transcription factor activity;
positive regulation of neuron projection development;
positive regulation of neurotrophin TRK receptor signaling pathway;
positive regulation of protein complex assembly;
positive regulation of transcription by RNA polymerase II;
regulation of peptidyl-tyrosine phosphorylation;
regulation of phosphatidylinositol 3-kinase signaling;
regulation of protein autophosphorylation;
regulation of signaling receptor activity",,"Cytosol;
Other locations",Cytoplasm,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15233,4841,CCDS14410.1,110904,"chromatin binding;
core promoter binding;
identical protein binding;
RNA binding;
RNA polymerase II distal enhancer sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcription regulatory region sequence-specific DNA binding","Activator;
DNA-binding;
Repressor;
RNA-binding","activation of innate immune response;
circadian rhythm;
DNA recombination;
DNA repair;
innate immune response;
mRNA processing;
mRNA splicing, via spliceosome;
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway;
negative regulation of transcription, DNA-templated;
regulation of circadian rhythm;
regulation of transcription, DNA-templated;
RNA splicing;
transcription, DNA-templated","Biological rhythms;
DNA damage;
DNA recombination;
DNA repair;
Immunity;
Innate immunity;
mRNA processing;
mRNA splicing;
Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,300967,Mental retardation,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q15329,1875,CCDS47885.1,108207,"DNA binding;
DNA binding transcription factor activity;
protein dimerization activity;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcription factor binding","Activator;
DNA-binding","animal organ morphogenesis;
cell projection organization;
positive regulation of transcription by RNA polymerase II;
regulation of cell cycle;
transcription, DNA-templated","Cilium biogenesis/degradation;
Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q15388,9804,CCDS1603.1,115144,"mitochondrion targeting sequence binding;
P-P-bond-hydrolysis-driven protein transmembrane transporter activity;
unfolded protein binding",,"mitochondrial outer membrane translocase complex assembly;
protein deubiquitination;
protein import into mitochondrial matrix;
protein targeting to mitochondrion;
response to 3,3',5-triiodo-L-thyronine;
response to muscle activity;
tRNA import into mitochondrion","Protein transport;
Transport","Mitochondrion;
Other locations",,,,"3D-structure;
Complete proteome;
Reference proteome",
Q15459,10291,CCDS13875.1,115580,RNA binding,,"mRNA 3'-splice site recognition;
mRNA processing;
mRNA splicing, via spliceosome;
regulation of alternative mRNA splicing, via spliceosome","mRNA processing;
mRNA splicing",Nucleus,"Nucleus;
Spliceosome",,,"3D-structure;
Complete proteome;
Reference proteome",
Q15483,,,,,,,,,,,,,
Q15515,,,,"metal ion binding;
nucleic acid binding;
protein dimerization activity",,"epidermis development;
keratinocyte differentiation;
protein polymerization;
response to UV",,Plasma Membrane,,,,,
Q15596,10499,CCDS47872.1,115761,"aryl hydrocarbon receptor binding;
chromatin binding;
ligand-dependent nuclear receptor binding;
ligand-dependent nuclear receptor transcription coactivator activity;
nuclear hormone receptor binding;
protein dimerization activity;
protein domain specific binding;
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
thyroid hormone receptor coactivator activity;
transcription coactivator activity",Activator,"bile acid and bile salt transport;
cellular response to hormone stimulus;
cellular response to Thyroglobulin triiodothyronine;
circadian regulation of gene expression;
intracellular receptor signaling pathway;
locomotor rhythm;
negative regulation of transcription by RNA polymerase II;
positive regulation of transcription by RNA polymerase II;
regulation of glucose metabolic process;
regulation of lipid metabolic process;
regulation of transcription, DNA-templated;
response to progesterone;
transcription, DNA-templated","Biological rhythms;
Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q15643,9321,CCDS9899.1,114732,transcription coactivator activity,,"chondrocyte differentiation involved in endochondral bone morphogenesis;
Golgi organization;
inner ear receptor cell stereocilium organization;
intraciliary transport involved in cilium assembly;
protein glycosylation;
transcription by RNA polymerase II;
ventricular septum development",,"Cytoskeleton;
Golgi apparatus;
Nucleus;
Other locations","Cytoplasm;
Cytoskeleton;
Golgi apparatus;
Membrane",200600,Dwarfism,"Complete proteome;
Reference proteome",
Q15652,221037,CCDS41532.1,128677,"chromatin DNA binding;
dioxygenase activity;
histone demethylase activity (H3-K9 specific);
metal ion binding;
thyroid hormone receptor binding;
transcription regulatory region sequence-specific DNA binding","Chromatin regulator;
Dioxygenase;
Oxidoreductase","blood coagulation;
histone H3-K9 demethylation;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
